"beginTime";"peakTime";"endTime";"classType";"classTypeNumber";"sourceLocation";"lat";"lon";"farestStartDate";"farestEndDate"
"2015-04-21T10:17Z";"2015-04-21T10:40Z";"2015-04-21T10:59Z";"M2.2";32,2;"N16E80";"+16";"+80";NA;NA
"2015-04-21T11:49Z";"2015-04-21T11:57Z";"2015-04-21T12:02Z";"M2.2";32,2;"N09W84";"+09";"-84";NA;NA
"2015-04-21T15:24Z";"2015-04-21T15:45Z";"2015-04-21T15:51Z";"M4.0";34;"N10W80";"+10";"-80";NA;NA
"2015-04-21T16:55Z";"2015-04-21T17:00Z";"2015-04-21T17:09Z";"M2.1";32,1;"N10W80";"+10";"-80";NA;NA
"2015-04-21T21:39Z";"2015-04-21T21:45Z";"2015-04-21T21:55Z";"M1.8";31,8;"N10W80";"+10";"-80";NA;NA
"2015-04-21T21:58Z";"2015-04-21T22:01Z";"2015-04-21T22:04Z";"M1.2";31,2;"N09W80";"+09";"-80";NA;NA
"2015-04-22T08:30Z";"2015-04-22T08:44Z";"2015-04-22T08:58Z";"M1.1";31,1;"N11W91";"+11";"-91";NA;NA
"2015-04-23T09:18Z";"2015-04-23T10:07Z";"2015-04-23T10:07Z";"M1.1";31,1;"N07W80";"+07";"-80";NA;NA
"2015-05-05T09:42Z";"2015-05-05T09:47Z";"2015-05-05T09:51Z";"M1.9";31,9;"N14E82";"+14";"+82";NA;NA
"2015-05-05T13:45Z";"2015-05-05T13:53Z";"2015-05-05T13:56Z";"M1.2";31,2;"N14E82";"+14";"+82";NA;NA
"2015-05-05T14:19Z";"2015-05-05T14:25Z";"2015-05-05T14:32Z";"M1.3";31,3;"S16E17";"-16";"+17";NA;NA
"2015-05-05T17:12Z";"2015-05-05T17:24Z";"2015-05-05T17:30Z";"M2.6";32,6;"S16E15";"-16";"+15";NA;NA
"2015-05-05T22:05Z";"2015-05-05T22:11Z";"2015-05-05T22:15Z";"X2.7";42,7;"N15E79";"+15";"+79";NA;NA
"2015-05-06T11:45Z";"2015-05-06T11:49Z";"2015-05-06T11:51Z";"M1.9";31,9;"N12E63";"+12";"+63";NA;NA
"2015-05-12T02:15Z";"2015-05-12T03:22Z";"2015-05-12T03:42Z";"C2.6";22,6;"S21W83";"-21";"-83";NA;NA
"2015-05-13T18:09Z";"2015-05-13T18:18Z";"2015-05-13T18:38Z";"C9.2";29,2;"N12W17";"+12";"-17";NA;NA
"2015-06-09T03:40Z";"2015-06-09T03:53Z";"2015-06-09T04:09Z";"C5.8";25,8;"N13W18";"+13";"-18";NA;NA
"2015-06-09T19:55Z";"2015-06-09T20:06Z";"2015-06-09T20:20Z";"C2.8";22,8;"S07E22";"-07";"+22";NA;NA
"2015-06-11T08:50Z";"2015-06-11T08:55Z";"2015-06-11T09:00Z";"M1.0";31;"S19E83";"-19";"+83";NA;NA
"2015-06-13T07:20Z";"2015-06-13T07:29Z";"2015-06-13T07:47Z";"M1.3";31,3;"N14W76";"+14";"-76";NA;NA
"2015-06-14T00:52Z";"2015-06-14T00:59Z";"2015-06-14T01:09Z";"M2.0";32;"N14W81";"+14";"-81";NA;NA
"2015-06-18T00:34Z";"2015-06-18T01:27Z";"2015-06-18T01:55Z";"M1.2";31,2;"S13W90";"-13";"-90";NA;NA
"2015-06-18T16:33Z";"2015-06-18T17:36Z";"2015-06-18T18:25Z";"M3.0";33;"N15E45";"+15";"+45";NA;NA
"2015-06-20T06:28Z";"2016-06-20T06:48Z";"2015-06-20T07:09Z";"M1.0";31;"N13E28";"+13";"+28";NA;NA
